factor,RMSE_benchmark,RMSE_normal,RMSE_VAR,MAE_benchmark,MAE_normal,MAE_VAR
Auvr,0.002797436976573012,0.002813629988522351,0.00266266165320438,0.002060178742202247,0.002096920936011657,0.00212408619560052
Cuvr,0.01124796791811477,0.0112962610626217,0.01070523867074235,0.008068281738099552,0.008101573196527352,0.007759353294622395
DTF,0.001202168180136762,0.001132502375705531,0.001002660879085893,0.0008729166666666665,0.0007996488418543137,0.000701309617130733
IBR,0.002073006392492813,0.001992533184598222,0.001683007651349466,0.001187257194364124,0.001253837519720177,0.001039996923280324
IPC,0.003104021263542945,0.003120505891931699,0.002893596728608021,0.002174095338205603,0.002178396293739705,0.001879426236142436
TA_Jur,0.001920599678485862,0.001904744514404816,0.001849310003193857,0.001301249999999999,0.001256936589055668,0.001272115329393643
GLOBAL,0.005056491716777112,0.005068536713829986,0.004784046320596484,0.002610663279923032,0.002614552229484812,0.002462714599361675
