fpr,tpr
0.0,0.0
0.0,0.0004987531172069825
0.0,0.0014962593516209476
3.572066440435792e-05,0.0014962593516209476
3.572066440435792e-05,0.006483790523690773
0.00010716199321307377,0.006483790523690773
0.00010716199321307377,0.006982543640897756
0.0001428826576174317,0.006982543640897756
0.0001428826576174317,0.008977556109725686
0.00021432398642614754,0.008977556109725686
0.00021432398642614754,0.00997506234413965
0.0002500446508305054,0.00997506234413965
0.0002500446508305054,0.011970074812967581
0.0002857653152348634,0.011970074812967581
0.0002857653152348634,0.012967581047381545
0.0003214859796392213,0.012967581047381545
0.0003214859796392213,0.013466334164588529
0.0003572066440435792,0.013466334164588529
0.0003572066440435792,0.014962593516209476
0.0003929273084479371,0.014962593516209476
0.0003929273084479371,0.015461346633416459
0.0005358099660653688,0.015461346633416459
0.0005358099660653688,0.018952618453865335
0.0005715306304697268,0.018952618453865335
0.0005715306304697268,0.0199501246882793
0.0006072512948740846,0.0199501246882793
0.0006072512948740846,0.020947630922693267
0.0006429719592784426,0.020947630922693267
0.0006429719592784426,0.022443890274314215
0.0006786926236828006,0.022443890274314215
0.0006786926236828006,0.024438902743142144
0.0007144132880871584,0.024438902743142144
0.0007144132880871584,0.02543640897755611
0.0007501339524915164,0.02543640897755611
0.0007501339524915164,0.026433915211970076
0.0008215752813002322,0.026433915211970076
0.0008215752813002322,0.029925187032418952
0.000893016610108948,0.029925187032418952
0.000893016610108948,0.030922693266832918
0.000928737274513306,0.030922693266832918
0.000928737274513306,0.03192019950124688
0.0010001786033220217,0.03192019950124688
0.0010001786033220217,0.032418952618453865
0.0010358992677263798,0.032418952618453865
0.0010358992677263798,0.03291770573566085
0.0010716199321307376,0.03291770573566085
0.0010716199321307376,0.03341645885286783
0.0011430612609394535,0.03341645885286783
0.0011430612609394535,0.0344139650872818
0.0012145025897481693,0.0344139650872818
0.0012145025897481693,0.034912718204488775
0.0012502232541525273,0.034912718204488775
0.0012502232541525273,0.03640897755610972
0.0012859439185568852,0.03640897755610972
0.0012859439185568852,0.03740648379052369
0.001321664582961243,0.03740648379052369
0.001321664582961243,0.0399002493765586
0.0014645472405786747,0.0399002493765586
0.0014645472405786747,0.04039900249376559
0.0016074298981961065,0.04039900249376559
0.0016074298981961065,0.041895261845386535
0.0017145918914091803,0.041895261845386535
0.0017145918914091803,0.04339152119700748
0.001786033220217896,0.04339152119700748
0.001786033220217896,0.045386533665835414
0.0018931952134309698,0.045386533665835414
0.0018931952134309698,0.04588528678304239
0.0019289158778353277,0.04588528678304239
0.0019289158778353277,0.04688279301745636
0.0020360778710484017,0.04688279301745636
0.0020360778710484017,0.04837905236907731
0.002286122521878907,0.04837905236907731
0.002286122521878907,0.050374064837905234
0.002321843186283265,0.050374064837905234
0.002321843186283265,0.05236907730673317
0.002357563850687623,0.05236907730673317
0.002357563850687623,0.05286783042394015
0.0023932845150919806,0.05286783042394015
0.0023932845150919806,0.053865336658354114
0.0024290051794963385,0.053865336658354114
0.0024290051794963385,0.0543640897755611
0.0024647258439006964,0.0543640897755611
0.0024647258439006964,0.05486284289276808
0.002607608501518128,0.05486284289276808
0.002607608501518128,0.056359102244389024
0.002643329165922486,0.056359102244389024
0.002643329165922486,0.058354114713216956
0.002679049830326844,0.058354114713216956
0.002679049830326844,0.05885286783042394
0.002714770494731202,0.05885286783042394
0.002714770494731202,0.059850374064837904
0.00275049115913556,0.059850374064837904
0.00275049115913556,0.06034912718204489
0.002786211823539918,0.06034912718204489
0.002786211823539918,0.06084788029925187
0.0028219324879442758,0.06084788029925187
0.0028219324879442758,0.061845386533665836
0.0028576531523486336,0.061845386533665836
0.0028576531523486336,0.0628428927680798
0.0029290944811573493,0.0628428927680798
0.0029290944811573493,0.06483790523690773
0.0030005358099660655,0.06483790523690773
0.0030005358099660655,0.06832917705735661
0.003071977138774781,0.06832917705735661
0.003071977138774781,0.06982543640897755
0.003143418467583497,0.06982543640897755
0.003143418467583497,0.07182044887780549
0.0031791391319878548,0.07182044887780549
0.0031791391319878548,0.07481296758104738
0.003214859796392213,0.07481296758104738
0.003214859796392213,0.0773067331670823
0.003250580460796571,0.0773067331670823
0.003250580460796571,0.07880299251870324
0.0034649044472227185,0.07880299251870324
0.0034649044472227185,0.0798004987531172
0.0035006251116270763,0.0798004987531172
0.0035006251116270763,0.08528678304239401
0.003572066440435792,0.08528678304239401
0.003572066440435792,0.08728179551122195
0.00360778710484015,0.08728179551122195
0.00360778710484015,0.08778054862842893
0.003679228433648866,0.08778054862842893
0.003679228433648866,0.0882793017456359
0.0037506697624575818,0.0882793017456359
0.0037506697624575818,0.09027431421446384
0.0037863904268619396,0.09027431421446384
0.0037863904268619396,0.09326683291770574
0.0038221110912662975,0.09326683291770574
0.0038221110912662975,0.0942643391521197
0.0038578317556706553,0.0942643391521197
0.0038578317556706553,0.09576059850374065
0.003893552420075013,0.09576059850374065
0.003893552420075013,0.09675810473815462
0.003929273084479371,0.09675810473815462
0.003929273084479371,0.09925187032418953
0.004000714413288087,0.09925187032418953
0.004000714413288087,0.10074812967581047
0.004036435077692445,0.10074812967581047
0.004036435077692445,0.10174563591022444
0.004072155742096803,0.10174563591022444
0.004072155742096803,0.10274314214463841
0.004107876406501161,0.10274314214463841
0.004107876406501161,0.10423940149625935
0.004143597070905519,0.10423940149625935
0.004143597070905519,0.10523690773067332
0.004215038399714235,0.10523690773067332
0.004215038399714235,0.10623441396508729
0.004250759064118593,0.10623441396508729
0.004250759064118593,0.10773067331670823
0.0042864797285229505,0.10773067331670823
0.0042864797285229505,0.10822942643391521
0.004322200392927309,0.10822942643391521
0.004322200392927309,0.1087281795511222
0.0043936417217360245,0.1087281795511222
0.00446508305054474,0.1087281795511222
0.00446508305054474,0.10972568578553615
0.0045008037149490985,0.10972568578553615
0.0045008037149490985,0.11022443890274314
0.00464368637256653,0.11022443890274314
0.00464368637256653,0.11072319201995012
0.004679407036970887,0.11072319201995012
0.004679407036970887,0.11172069825436409
0.004715127701375246,0.11172069825436409
0.004715127701375246,0.11271820448877805
0.004750848365779604,0.11271820448877805
0.004750848365779604,0.11371571072319202
0.004786569030183961,0.11371571072319202
0.004786569030183961,0.114214463840399
0.00482228969458832,0.114214463840399
0.00482228969458832,0.11521197007481297
0.005000893016610109,0.11521197007481297
0.005000893016610109,0.11571072319201996
0.005036613681014467,0.11571072319201996
0.005036613681014467,0.11620947630922693
0.005072334345418825,0.11620947630922693
0.005072334345418825,0.11670822942643391
0.005108055009823182,0.11670822942643391
0.005108055009823182,0.11770573566084788
0.005143775674227541,0.11770573566084788
0.005143775674227541,0.11970074812967581
0.005179496338631898,0.11970074812967581
0.005179496338631898,0.12119700748129676
0.005215217003036256,0.12119700748129676
0.005215217003036256,0.12219451371571072
0.005250937667440615,0.12219451371571072
0.005250937667440615,0.12319201995012469
0.005286658331844972,0.12319201995012469
0.005286658331844972,0.12369077306733167
0.005429540989462404,0.12369077306733167
0.005429540989462404,0.12418952618453866
0.00550098231827112,0.12418952618453866
0.00550098231827112,0.12518703241895263
0.0055367029826754776,0.12518703241895263
0.0055367029826754776,0.12718204488778054
0.005572423647079836,0.12718204488778054
0.005572423647079836,0.12768079800498752
0.005608144311484193,0.12768079800498752
0.005608144311484193,0.12917705735660848
0.0056438649758885516,0.12917705735660848
0.0056438649758885516,0.13017456359102245
0.005715306304697267,0.13017456359102245
0.005715306304697267,0.13117206982543642
0.005822468297910341,0.13117206982543642
0.005822468297910341,0.1316708229426434
0.005858188962314699,0.1316708229426434
0.005858188962314699,0.13266832917705737
0.005893909626719057,0.13266832917705737
0.005893909626719057,0.13516209476309227
0.005929630291123415,0.13516209476309227
0.005929630291123415,0.13665835411471322
0.005965350955527773,0.13665835411471322
0.005965350955527773,0.13865336658354116
0.006001071619932131,0.13865336658354116
0.006001071619932131,0.13915211970074812
0.006036792284336488,0.13915211970074812
0.006036792284336488,0.1401496259351621
0.006072512948740847,0.1401496259351621
0.006072512948740847,0.14064837905236907
0.006215395606358278,0.14064837905236907
0.006215395606358278,0.14114713216957606
