Factor,Mes,Media,P05,P50,P95
Cuvr,4,0.0914224305806525,0.07474074244046153,0.09149874242853802,0.10680263654728694
Cuvr,5,0.09154772162934557,0.07442685421092961,0.09131531218374711,0.10958643938913497
Cuvr,6,0.09144498792426205,0.07271554967772091,0.09126865701519951,0.11098978078042901
Cuvr,7,0.09139311866288127,0.07192816589308067,0.09116246356921039,0.11165476060186529
Cuvr,8,0.09157047436497856,0.07037580365049201,0.091006221037368,0.11253420279554345
Cuvr,9,0.09126253693794383,0.06883492971725821,0.09113346099014989,0.1140497550545045
Cuvr,10,0.0910418384435343,0.06845927952506975,0.09032691391104997,0.1143809027439266
Cuvr,11,0.09083852108914502,0.06617685607685783,0.0904262543689045,0.11581524130744235
Cuvr,12,0.09085304853265662,0.06568729269231817,0.09025318029523201,0.11633497974793836
Auvr,1,0.08599671901947792,0.081030278859894,0.08592267211432524,0.09101854527727678
Auvr,2,0.08570884575743093,0.07937348502212484,0.08552947666575442,0.09238246683933603
Auvr,3,0.08526908545490346,0.07763724739554206,0.08522155276459539,0.09285717675100319
Auvr,4,0.08493858691562381,0.07616517161369617,0.08483675779268875,0.09364651455009314
Auvr,5,0.08461388050792888,0.07408668397912314,0.08484604357154521,0.09414719539460738
Auvr,6,0.08443917053131687,0.07398663921911945,0.08472506572292453,0.09527018905687891
Auvr,7,0.08415984391604502,0.07201438021067479,0.08424250803142211,0.09546274399845923
Auvr,8,0.08397379279618374,0.0713103815915294,0.0841224920041328,0.09653471839718182
Auvr,9,0.08372456087768851,0.06926569259110031,0.08378954536205996,0.09734754938782984
Auvr,10,0.08357403033418234,0.06896209984029397,0.0835962783008607,0.09752367256020336
Auvr,11,0.08345070355591543,0.06667367307180394,0.08343009181217542,0.0986455327606311
Auvr,12,0.08311179900056172,0.06596156093497778,0.0833067313178664,0.09878278825846293
