,TA_Jur,DTF,IBR,IPC,Cuvr,Auvr
TA_Jur,5.536042474209985e-06,2.7812069902346056e-06,3.8014263869177114e-06,2.1145266332820283e-06,-2.980124401947709e-07,1.172702885243519e-06
DTF,2.7812069902346056e-06,4.864794520547944e-06,4.533220502073666e-06,3.554661028579052e-06,1.7573902713672814e-06,1.0068080546098485e-06
IBR,3.8014263869177114e-06,4.533220502073666e-06,6.967635072248888e-06,3.921575944580564e-06,1.4829470260416109e-06,4.453719232548058e-07
IPC,2.1145266332820283e-06,3.554661028579052e-06,3.921575944580564e-06,1.0324517151810341e-05,-4.61188767962506e-07,1.174835635591862e-06
Cuvr,-2.980124401947709e-07,1.7573902713672814e-06,1.4829470260416109e-06,-4.61188767962506e-07,4.615910023338983e-05,-6.851791595458231e-07
Auvr,1.172702885243519e-06,1.0068080546098485e-06,4.453719232548058e-07,1.174835635591862e-06,-6.851791595458231e-07,9.769208685246905e-06
