Factor,Media_delta_mensual
TA_Jur,-0.0004173972318830676
DTF,-0.0003142857142857143
IBR,-0.0004210622387984501
IPC,-0.00014621616428208572
Cuvr,-5.760659525261885e-05
Auvr,-0.00011691599794971846
