Factor,p_normalidad,p_autocorrelacion,normal,independiente
TA_Jur,3.240852840743638e-205,2.2186322222227267e-05,False,False
DTF,5.690642403685901e-53,5.68292729197124e-19,False,False
IBR,4.174237134399642e-115,2.740780743072125e-14,False,False
IPC,0.03212456862888885,2.737623173821915e-11,False,False
Cuvr,3.756392820641271e-92,7.905849301300082e-07,False,False
Auvr,6.0344893835566695e-59,0.04013121657734311,False,False
