Fecha,TA_Jur,DTF,IBR,IPC,Cuvr,Auvr
2008-01-01,0.08735739308681094,0.0912,0.09584514910337216,0.05997045396879347,0.10046816950213497,0.103623739574987
2008-02-01,0.08892315430798925,0.093,0.09666454096992794,0.0635200756202436,0.10028261087783505,0.10379280807937169
2008-03-01,0.08927749998033122,0.0959,0.0983675571995336,0.059259522494034315,0.10209047352200223,0.10326695905712663
2008-04-01,0.07371875,0.0979,0.0983040183339809,0.057280004946080224,0.10248917659816176,0.10440101480407182
2008-05-01,0.07364099999999998,0.0959,0.09824324342749469,0.06394319990432053,0.10243893579801895,0.10526665166677582
2008-06-01,0.07398874999999999,0.0975,0.09821562006081636,0.0718040294337135,0.10467689503010505,0.10492753765622737
2008-07-01,0.07309375,0.0961,0.09877303127614842,0.0751958987740171,0.10279757412489517,0.105
2008-08-01,0.07670099999999999,0.0996,0.1007707267710003,0.07869266772412713,0.108927582375955,0.11137730395305809
2008-09-01,0.07857,0.0992,0.1006865756834443,0.07573718122575214,0.10943499927656837,0.1156602713595116
2008-10-01,0.078619,0.1002,0.10076795892475998,0.07939679683429482,0.11459870393794162,0.11359470355188979
2008-11-01,0.080355,0.1013,0.10044419160318874,0.07730094006832491,0.11581037288654022,0.11339693463094754
2008-12-01,0.079765,0.1012,0.09697810798047893,0.07674758528855706,0.11391849874944537,0.11615035281236846
2009-01-01,0.07624,0.0969,0.09429680357891418,0.07178155481988432,0.11626332404060506,0.11450332877213704
2009-02-01,0.07255500000000001,0.0898,0.0909536287346201,0.06466746908457045,0.11376817388114324,0.10902835651558604
2009-03-01,0.06498999999999999,0.0817,0.07611087907540134,0.061407957041107915,0.11237085288753995,0.10707456453275356
2009-04-01,0.05919166666666667,0.0712,0.07026681977534893,0.057298665522557544,0.11136653474272971,0.10820435080429239
2009-05-01,0.054706,0.062,0.060076437943187844,0.04768623214148672,0.10944230395452056,0.10636686887515821
2009-06-01,0.04786875,0.0552,0.048289530170578,0.03814862097027494,0.10553340863347774,0.10455795443629681
2009-07-01,0.044941999999999996,0.0515,0.04510819889196643,0.032767570850253946,0.10549494459513926,0.10580397438477247
2009-08-01,0.04324875,0.0508,0.04361785897740589,0.031250209953023286,0.10529979610945517,0.10480574604977672
2009-09-01,0.04135,0.0489,0.04312293303618673,0.03208957461777456,0.10504635794925422,0.10431263133377229
2009-10-01,0.039562,0.0441,0.040288174899502094,0.027215942474704168,0.10163707106769998,0.10159194132554739
2009-11-01,0.03813875,0.044,0.03878518911010742,0.023685193724080095,0.09810580307858259,0.0988366889014535
2009-12-01,0.03230375,0.0412,0.03306797259962373,0.020018079999999584,0.09800424154273925,0.09640904542207142
2010-01-01,0.030908666666666668,0.0404,0.033475216666701724,0.020996243259522596,0.0967127957572712,0.09392964477495702
2010-02-01,0.031034999999999997,0.04,0.033650238440954716,0.020909357502471346,0.09539638181760077,0.0952309405723568
2010-03-01,0.030758749999999998,0.0393,0.034004092850871935,0.018395077924499074,0.09499696294460329,0.0948375356542907
2010-04-01,0.030344,0.0392,0.0349600551899934,0.019808412348761444,0.09440294428656801,0.09410884484265583
2010-05-01,0.028759999999999997,0.0363,0.030396643226426046,0.020717970721084774,0.09267511182747239,0.0931204858623595
2010-06-01,0.02792375,0.0354,0.030404979207347704,0.02245134116275135,0.09198166224223586,0.09285278979114246
