TA_Jur,DTF,IBR,IPC,Cuvr,Auvr
0.0015657612211783106,0.001799999999999996,0.0008193918665557742,0.0035496216514501328,-0.00018555862429991965,0.00016906850438469512
0.0003543456723419658,0.0029,0.0017030162296056695,-0.004260553126209286,0.0018078626441671852,-0.0005258490222450618
-0.015558749980331216,0.0020000000000000018,-6.353886555270083e-05,-0.001979517547954092,0.0003987030761595234,0.001134055746945195
-7.775000000001531e-05,-0.0020000000000000018,-6.077490648621897e-05,0.006663194958240304,-5.0240800142806186e-05,0.0008656368627039945
0.0003477500000000078,0.0016000000000000042,-2.7623366678330985e-05,0.007860829529392974,0.002237959232086098,-0.00033911401054845247
-0.000894999999999993,-0.0013999999999999985,0.0005574112153320654,0.0033918693403035965,-0.001879320905209883,7.246234377263072e-05
0.0036072499999999924,0.0034999999999999892,0.0019976954948518755,0.0034967689501100296,0.006130008251059832,0.006377303953058092
0.0018690000000000095,-0.0003999999999999976,-8.415108755599476e-05,-0.0029554864983749873,0.0005074169006133722,0.004282967406453508
4.899999999999349e-05,0.0010000000000000009,8.138324131568009e-05,0.0036596156085426795,0.005163704661373253,-0.002065567807621807
0.0017360000000000014,0.0011000000000000038,-0.00032376732157124444,-0.0020958567659699057,0.0012116689485986015,-0.00019776892094225396
-0.0005899999999999933,-0.00010000000000000286,-0.003466083622709809,-0.0005533547797678534,-0.001891874137094851,0.0027534181814209274
-0.0035250000000000004,-0.004299999999999998,-0.002681304401564749,-0.004966030468672736,0.0023448252911596884,-0.0016470240402314262
-0.003684999999999994,-0.007099999999999995,-0.0033431748442940834,-0.0071140857353138715,-0.0024951501594618203,-0.005474972256550997
-0.007565000000000016,-0.00810000000000001,-0.014842749659218751,-0.0032595120434625383,-0.0013973209936032904,-0.0019537919828324785
-0.005798333333333322,-0.010499999999999995,-0.005844059300052412,-0.00410929151855037,-0.0010043181448102373,0.0011297862715388268
-0.0044856666666666725,-0.0092,-0.010190381832161088,-0.009612433381070824,-0.0019242307882091497,-0.0018374819291341743
-0.006837249999999996,-0.0068000000000000005,-0.011786907772609843,-0.009537611171211782,-0.003908895321042827,-0.0018089144388614004
-0.0029267500000000057,-0.003700000000000002,-0.003181331278611567,-0.0053810501200209915,-3.846403833847323e-05,0.0012460199484756601
-0.0016932499999999934,-0.0006999999999999992,-0.0014903399145605456,-0.0015173608972306601,-0.00019514848568409626,-0.0009982283349957571
-0.0018987500000000046,-0.001899999999999999,-0.0004949259412191584,0.000839364664751277,-0.00025343816020094445,-0.0004931147160044252
-0.001787999999999998,-0.004799999999999999,-0.0028347581366846356,-0.004873632143070395,-0.0034092868815542438,-0.0027206900082249047
-0.001423250000000001,-0.00010000000000000286,-0.001502985789394673,-0.0035307487506240735,-0.00353126798911739,-0.0027552524240938847
-0.005835,-0.002799999999999997,-0.005717216510483694,-0.0036671137240805105,-0.00010156153584334193,-0.002427643479382083
-0.0013950833333333315,-0.0008000000000000021,0.000407244067077997,0.0009781632595230114,-0.0012914457854680539,-0.0024794006471143964
0.000126333333333329,-0.0003999999999999976,0.00017502177425299248,-8.68857570512499e-05,-0.0013164139396704272,0.001301295797399779
-0.0002762499999999987,-0.0006999999999999992,0.0003538544099172189,-0.002514279577972272,-0.00039941887299747847,-0.00039340491806609534
